MONTH,CHIPHISX,CHIPHIKHAC,NGUONTHUKHAC,LOINHUAN,KHUVUC
DL01,7.2,8.4,7.4,7.2,0
DL02,5.4,6.3,4.3,4.9,1
DL03,5.6,5,2.8,6.1,1
DL04,6.6,5.1,5.9,4.1,1
DL05,6,5.4,7.6,4.4,1
DL06,9.3,9.6,7.1,8.5,1
DL07,2.8,4.4,4.6,4.7,0
DL08,8.3,6.7,8.6,8.3,0
DL09,6.5,7.3,6.4,8.1,0
DL10,7.3,8,6.5,5.5,0
DL11,5.2,6.3,7.8,7.6,0
DL12,7.9,8.2,8.1,6.9,1
DL13,7.3,5.8,8.5,7.6,0
DL14,4.9,4.5,4.5,4.6,0
DL15,7.1,8.3,8.6,8.3,0
DL16,2.5,6.2,6.5,7.3,1
DL17,8.8,7.3,7.5,7.7,0
DL18,5.4,4.8,5.5,5.5,1
DL19,5.6,5.5,4.8,6.1,1
DL20,8.2,6.4,6.1,5.8,0
DL21,3.9,5.6,6.3,6.9,1
DL22,5,5.8,6,6.6,0
DL23,5,5.5,2.3,4.1,0
DL24,5.3,6.4,6.1,5,1
DL25,2.4,3.3,3.9,3.3,0
DL26,3.6,4.2,4.2,4.8,0
DL27,4.9,5.9,4.9,6,0
DL28,8.1,4.4,5,2.9,0
DL29,6.3,8.1,5.7,7.3,1
DL30,4.5,5.5,6.8,5.6,1
DL31,7.6,7.7,7.5,5.5,0
DL32,2.6,3.8,5.9,6.8,1
DL33,6,6,6.8,5.4,0
DL34,6.4,4.5,8,8.5,1
DL35,4.7,6.2,4.3,5.3,1
DL36,6.5,5.3,6.1,5.7,1
DL37,7.3,7.5,8,7.7,1
DL38,3.4,4.4,5.8,3,1
DL39,4.4,4.4,5.1,5.6,1
DL40,4.3,5.3,7.3,7.7,1
DL41,5.3,7.5,7.8,8.5,0
DL42,8.3,8.2,7.8,7.7,0
DL43,7,7.2,7,6.5,0
DL44,6.6,6.3,6.7,6,0
DL45,6.1,8.8,8.4,6.6,0
DL46,6.9,5.4,5.3,5.3,0
DL47,6.7,6.6,7.6,7.4,0
DL48,7.9,7.3,7.8,9.4,1
DL49,7.9,8.1,7.8,5.8,0
DL50,8.2,8.5,6.7,6.8,0
DL51,5.5,6.2,7.3,7.9,0
DL52,6,7.3,7.4,8.1,0
DL53,5.3,8,6.8,6.6,0
DL54,4.9,6.1,2.5,6.2,1
DL55,5.3,5.1,6.4,5.6,0
DL56,7.9,8.4,8.5,8.4,0
DL57,6.3,7,5.5,6.3,0
DL58,7.2,7.3,7.5,7.6,0
DL59,6.5,8.3,8.3,7.1,1
DL60,3.6,3.5,4.2,3.2,1
DL61,6.2,5,6.7,6.6,1
DL62,7.2,8.4,7.3,6.5,0
DL63,6.4,5.9,6.5,7.6,1
DL64,7.5,7.6,6.8,6.8,1
DL65,7.1,6.9,8.1,7.2,1
DL66,3,3.5,3.8,5.5,1
DL67,5.1,5.3,4.7,5.6,1
DL68,4.6,7.2,7.6,6.2,1
DL69,7.3,8.1,8.2,7.9,1
DL70,6,6.2,5.1,5.1,1
DL71,5.8,7.6,6.6,5.3,0
DL72,3,4.8,4.7,5,0
DL73,5.5,6,4.6,5.2,1
DL74,5.2,5.5,4.7,4.3,0
DL75,4.2,5.5,5.1,6.4,0
DL76,5.5,6,2.9,4.2,1
DL77,5.4,6,6.9,6.9,0
DL78,5.2,6.8,6.5,5.8,1
DL79,5.3,5.2,5,3.5,1
DL80,4.8,5.1,5.7,5,0
DL81,8.2,9.2,9.3,8.1,0
DL82,5.7,3.9,5.7,4.6,1
DL83,5.1,5,7.4,6,0
DL84,5.9,7.4,5.5,7,0
DL85,8.4,9.3,7.4,7.7,1
DL86,7.2,7.9,7.3,8.4,0
DL87,6.3,6.3,5.2,6.1,1
DL88,7.3,5.9,7.1,7.7,1
DL89,5.2,6.5,7.4,7.4,1
DL90,5.7,5.6,4.7,5.1,1
DL91,8.1,8.8,9.2,8.8,1
DL92,7.8,8.9,8.5,7.8,1
DL93,5,6.8,7.2,6.1,1
DL94,5.2,6.8,6.7,6.6,1
DL95,5.8,6.4,7.3,7.1,1
DL96,8.6,8.9,7.7,6.7,0
DL97,3.7,4.1,3.1,3.4,0
DL98,8.8,9.5,9.5,8.5,1
DL99,2.7,2.8,6.2,5.2,1
DL100,4.1,4.4,6,4.3,1